NAME,WEIGHT,VALUE,E1,E1M,E1D,E2,E2M,E2D,E3,E3M,E3D,E4,E4M,E4D
Abecean Longfin,0.5,19,Weakness to Frost,6.66,60,Fortify Sneak,3.33,60,Fortify Speed,1.33,60,Fortify Restoration Power,3.33,60
Alocasia Fruit,0.25,62,Fortify Stamina Regeneration,2.67,300,Light,0,4,Damage Armor,19.95,60,Fortify Health Regeneration,2.67,300
Ambrosia,0.1,44,Restore Health,0.96,10,Fortify Health Regeneration,2.67,300,Fortify Health,2.67,300,Muffle,1,4
Ancestor Moth Wing,0.1,18,Damage Stamina,0.88,10,Fortify Conjuration Power,6.67,60,Damage Weapon,3.33,60,Fortify Sneak Attacks,3.33,60
Angelfish,0.25,65,Fortify Health Regeneration,2.67,300,Resist Fire,3.33,60,Fortify Marksman,3.33,60,Waterbreathing,0,4
Angler Larvae,0.25,65,Lingering Damage Health,0.27,30,Fortify Stamina Regeneration,2.67,300,Waterbreathing,0,4,Fortify Two-handed,3.33,60
Ash Creep Cluster,0.25,17,Damage Stamina,0.88,10,Invisibility,0,4,Resist Fire,3.33,60,Fortify Destruction Power,3.33,60
Ash Hopper Jelly,0.25,23,Restore Health,0.96,10,Fortify Power Attacks,3.33,60,Resist Shock,3.33,60,Weakness to Frost,6.66,60
Ashen Grass Pod,0.1,17,Resist Fire,3.33,60,Weakness to Shock,6.66,60,Fortify Lockpicking,3.33,60,Fortify Sneak,3.33,60
Aster Bloom Core,0.1,59,Resist Magic,1.67,300,Fortify Armor Rating,6.67,300,Fortify Block,3.33,60,Paralysis,3.33,10
Bear Claws,0.1,20,Restore Stamina,0.96,10,Fortify Health,2.67,300,Fortify One-handed,3.33,60,Damage Armor,19.95,60
Bee,0.1,30,Restore Stamina,0.96,10,Command,3.33,30,Fortify Stamina Regeneration,2.67,300,Weakness to Shock,6.66,60
Beehive Husk,1,19,Resist Poison,3.33,60,Fortify Power Attacks,3.33,60,Fortify Sneak,3.33,60,Fortify Destruction Power,3.33,60
Berit's Ashes,0.2,28,Damage Stamina,0.88,10,Resist Fire,3.33,60,Fortify Conjuration Power,6.67,60,Command,3.33,30
Bittergreen Petals,0.1,47,Lingering Damage Stamina,0.52,30,Invisibility,0,4,Muffle,1,4,Damage Magicka,0.88,10
Bleeding Crown,0.3,21,Weakness to Fire,6.66,60,Fortify Block,3.33,60,Fortify Speed,1.33,60,Resist Magic,1.67,300
Blind Watcher's Eye,0.2,54,Light,0,4,Fortify Magicka,2.67,300,Fortify Alteration Power,6.67,60,Spell Absorption,1.67,60
Bliss Bug Thorax,0.1,27,Weakness to Fire,6.66,60,Resist Fire,3.33,60,Fortify Shouts,6.67,60,Fortify Illusion Power,3.33,60
Blister Pod Cap,0.1,56,Restore Magicka,0.96,10,Fortify Magicka,2.67,300,Night Eye,0,4,Invisibility,0,4
Blisterwort,0.2,24,Restore Health,0.96,10,Frenzy,3.33,30,Resist Magic,1.67,300,Fortify Armor Rating,6.67,300
Blue Butterfly Wing,0.1,18,Damage Stamina,0.88,10,Fortify Conjuration Power,6.67,60,Damage Weapon,3.33,60,Fortify Sneak Attacks,3.33,60
Blue Dartwing,0.1,21,Resist Shock,3.33,60,Fortify Pickpocket,3.33,60,Restore Health,0.96,10,Fear,3.33,30
Blue Mountain Flower,0.1,23,Restore Health,0.96,10,Fortify Conjuration Power,6.67,60,Fortify Health,2.67,300,Damage Armor,19.95,60
Boar Tusk,0.5,67,Fortify Stamina,2.67,300,Fortify Health,2.67,300,Fortify Block,3.33,60,Frenzy,3.33,30
Bog Beacon,0.1,43,Restore Magicka,0.96,10,Fortify Shouts,6.67,60,Fear,3.33,30,Damage Stamina,0.88,10
Bone Meal,0.5,18,Fortify Conjuration Power,6.67,60,Resist Fire,3.33,60,Become Ethereal,0,4,Calm,3.33,30
Briar Heart,0.5,20,Restore Magicka,0.96,10,Fortify Block,3.33,60,Paralysis,3.33,10,Fortify Magicka,2.67,300
Bungler's Bane,0.5,47,Burden,3.33,60,Calm,3.33,30,Command,3.33,30,Resist Magic,1.67,300
Burnt Spriggan Wood,0.5,19,Weakness to Fire,6.66,60,Fortify Alteration Power,6.67,60,Damage Weapon,3.33,60,Burden,3.33,60
Butterfly Wing,0.1,35,Restore Health,0.96,10,Fortify Barter,1.67,300,Lingering Damage Stamina,0.52,30,Damage Magicka,0.88,10
Canis Root,0.1,19,Damage Stamina,0.88,10,Fortify One-handed,3.33,60,Fortify Marksman,3.33,60,Paralysis,3.33,10
Charred Skeever Hide,0.5,15,Restore Stamina,0.96,10,Cure Disease,1,0,Resist Poison,3.33,60,Restore Health,0.96,10
